term,weight
false flag,0.95
deep fake video,0.93
staged event,0.93
hoax confirmed,0.92
proven hoax,0.92
coordinated psyop,0.91
fabricated evidence,0.91
manufactured crisis,0.91
deep state plot,0.90
fake pandemic,0.90
lizard people,0.90
satanic agenda,0.90
scripted narrative,0.90
chemtrail proof,0.89
crisis actors,0.89
flat earth proof,0.89
illuminati exposed,0.89
population reduction plan,0.89
fake shooting staged,0.88
globalist takeover,0.88
microchip implant plan,0.88
mind control waves,0.88
new world order confirmed,0.88
child trafficking ring cover,0.87
rigged election proof,0.87
secret society controls,0.87
shadow government revealed,0.87
world domination plot,0.87
election fraud proof,0.86
stolen election confirmed,0.86
vote machine hacked confirmed,0.86
alien disclosure suppressed,0.85
clone army secret,0.85
death panels confirmed,0.85
depopulation agenda,0.85
fabricated quote,0.85
fake document,0.85
forced vaccine chip,0.85
interdimensional beings confirmed,0.85
invented quote,0.85
manipulated video,0.85
outright fabrication,0.85
source fabricated,0.85
bombshell,0.85
government cover-up,0.84
psyop,0.84
urgent share before deleted,0.84
fake news outlet,0.83
fake quote,0.83
manipulated quote,0.83
plandemic,0.83
scamdemic,0.83
click here now,0.83
controlled opposition,0.82
doctored clip,0.82
doctored screenshot,0.82
engineered event,0.82
fake caption,0.82
fake photo,0.82
manipulated image,0.82
manipulated transcript,0.82
mass brainwashing,0.82
media brainwash,0.82
photo manipulation,0.82
propaganda machine,0.82
closed-door emergency meeting,0.82
share this before midnight,0.82
false narrative,0.81
manufactured consent,0.81
narrative manipulation,0.81
orchestrated event,0.81
suppressed cure,0.81
banned cure,0.80
cabal exposed,0.80
crisis fabricated,0.80
deliberately false,0.80
doctored image,0.80
genocide agenda,0.80
globalist puppet,0.80
hoax,0.80
invented statistic,0.80
made-up story,0.80
share before it disappears,0.80
conspiracy,0.80
fake,0.80
insider,0.80
leaked,0.80
scam,0.80
suppressed,0.80
undeniable,0.80
censored truth,0.79
elite puppet,0.79
mainstream lie,0.79
media blackout,0.79
silenced whistleblower,0.79
banned research,0.78
blatant lie,0.78
buried study,0.78
counterfeit news,0.78
political fabrication,0.78
recycled hoax,0.78
repackaged hoax,0.78
retracted coverup,0.78
suppressed science,0.78
cannot be independently verified,0.78
doctor silenced,0.77
journalist disappeared,0.77
scientist threatened,0.77
witness intimidated,0.77
cancel culture silencing,0.76
technocrat agenda,0.76
thought crime,0.76
transhumanist plot,0.76
download and save offline now,0.76
5g conspiracy,0.75
bioweapon lab leak,0.75
calculated lie,0.75
climate hoax,0.75
climate lie,0.75
collusion confirmed,0.75
completely false,0.75
concocted story,0.75
coordinated disinformation,0.75
fabricated poll,0.75
fabrication,0.75
fake news,0.75
invented expert,0.75
manipulated poll,0.75
mass deception,0.75
obvious lie,0.75
outright lie,0.75
politically motivated lie,0.75
propaganda,0.75
satellite mind control,0.75
state propaganda,0.75
troll farm product,0.75
viral falsehood,0.75
viral misinformation,0.75
zero credibility outlet,0.75
censored,0.75
deception,0.75
exposed,0.75
globalist,0.75
hidden,0.75
shocking,0.75
whistleblower,0.75
misinformation spreader,0.74
shill,0.74
fact-checkers funded by,0.74
agent provocateur,0.73
empirically false,0.73
fake authority,0.73
fake expert cited,0.73
false claim,0.73
paid shill,0.73
peddled falsehood,0.73
plant,0.73
provocateur,0.73
repeated falsehood,0.73
reverse-engineered lie,0.73
untrue assertion,0.73
black ops,0.72
cloaked propaganda,0.72
covert operation,0.72
coverup,0.72
decontextualized image,0.72
domestic propaganda,0.72
foreign propaganda,0.72
imagery misattributed,0.72
influence operation,0.72
info warfare,0.72
lied about,0.72
malinformation,0.72
pro-kremlin talking points,0.72
psychological operation,0.72
tabloid fabrication,0.72
troll operation,0.72
video out of context,0.72
weaponized information,0.72
anonymous insider says,0.72
false,0.71
astroturfing,0.71
bot army,0.71
fake grassroots,0.71
sockpuppet account,0.71
cropped photo,0.70
data fabricated,0.70
debunked lie,0.70
disinformation,0.70
fact-free,0.70
fake polling,0.70
foreign influence op,0.70
gaslight,0.70
inverted truth,0.70
lies,0.70
malicious framing,0.70
manipulated data,0.70
media manipulation,0.70
misinformation,0.70
misleading caption,0.70
phantom source,0.70
planted story,0.70
political hit job,0.70
report falsified,0.70
source laundering,0.70
statistics rigged,0.70
study faked,0.70
weaponized narrative,0.70
classified,0.70
lie,0.70
revealed,0.70
secret,0.70
deep,0.70
staged,0.70
proven,0.69
classified truth,0.69
conspiracy confirmed,0.69
hoax perpetrated,0.69
theory proven true,0.69
coordinated,0.68
fabricated,0.68
manufactured,0.68
baseless accusation,0.68
baseless allegation,0.68
bombshell leak,0.68
brown envelope journalism,0.68
compromise operation,0.68
cynical manipulation,0.68
damning evidence,0.68
deceptive framing,0.68
explosive revelation,0.68
grassroots fake,0.68
hate amplification,0.68
information operation,0.68
information pollution,0.68
junk science,0.68
leaked secrets,0.68
liar,0.68
misquote,0.68
news laundering,0.68
post-truth claim,0.68
sockpuppet,0.68
truncated quote,0.68
undeniable proof,0.68
lizard,0.68
satanic,0.68
scripted,0.68
exclusive insider,0.67
irrefutable evidence,0.67
unquestionable proof,0.67
chemtrail,0.67
crisis,0.67
flat,0.67
illuminati,0.67
population,0.67
anonymous source,0.66
source close to,0.66
unnamed official,0.66
microchip,0.66
mind,0.66
new,0.66
child,0.65
rigged,0.65
shadow,0.65
world,0.65
brigading,0.65
cloned content,0.65
contrived scandal,0.65
credibility laundering,0.65
data distortion,0.65
deep background,0.65
fake citizen journalist,0.65
fear campaign,0.65
ghost-written hit piece,0.65
headline misleads,0.65
hidden agenda,0.65
inflated death toll claim,0.65
junk study cited,0.65
misleading graph,0.65
misrepresentation,0.65
narrative collapse,0.65
narrative distortion,0.65
off the record,0.65
opposition research disguised,0.65
panic induction,0.65
quotes taken out,0.65
radicalization content,0.65
retracted claim,0.65
retracted study,0.65
rumor confirmed,0.65
screenshot no source,0.65
smear,0.65
smear campaign,0.65
stolen valor story,0.65
trust manipulation,0.65
unattributed claim,0.65
unconfirmed report,0.65
unscientific claim,0.65
unverified claim,0.65
without evidence,0.65
yellow journalism,0.65
anonymous,0.65
elite,0.65
proof,0.65
terrified,0.65
unnamed,0.65
election,0.65
stolen,0.65
vote,0.65
alleged evidence,0.64
suspected operation,0.64
alien,0.64
clone,0.64
death,0.64
depopulation,0.64
forced,0.64
interdimensional,0.64
invented,0.64
manipulated,0.64
outright,0.64
source,0.64
elites hiding,0.63
possible conspiracy,0.63
they are hiding,0.63
they don't want,0.63
government,0.63
urgent,0.63
click,0.62
absurd claim,0.62
captive media,0.62
censorship,0.62
data cherry-picked,0.62
hidden sponsor,0.62
hit piece,0.62
incendiary claim,0.62
libel,0.62
narrative control,0.62
native advertising deceptive,0.62
power elite,0.62
rage bait,0.62
rampant corruption,0.62
ruling class plot,0.62
spin machine,0.62
systemic corruption,0.62
unscientific study,0.62
unsourced data,0.62
whitewash,0.62
yellow press,0.62
closed-door,0.61
controlled,0.61
doctored,0.61
engineered,0.61
mass,0.61
media,0.61
photo,0.61
share,0.61
bought journalist,0.61
compromised media,0.61
deepest corruption,0.61
rigged system,0.61
orchestrated,0.61
banned,0.60
cabal,0.60
deliberately,0.60
genocide,0.60
made-up,0.60
bought coverage,0.60
checkbook journalism,0.60
collusion allegation,0.60
coordinated campaign,0.60
criminal libel,0.60
culture war bait,0.60
curated outrage,0.60
deleted post,0.60
emotional manipulation,0.60
fear bait,0.60
inflated numbers,0.60
lurking agenda,0.60
media capture,0.60
media complicit,0.60
news puppet,0.60
no evidence given,0.60
outrage bait,0.60
panic narrative,0.60
predatory framing,0.60
satire mislabeled,0.60
slander,0.60
state media bias,0.60
unsourced,0.60
unverifiable statistic,0.60
woo content,0.60
confirmed,0.60
desperate,0.60
mainstream,0.60
panic,0.60
silenced,0.59
rumor,0.59
unverified,0.59
blatant,0.58
buried,0.58
cannot,0.58
counterfeit,0.58
political,0.58
recycled,0.58
repackaged,0.58
retracted,0.58
abuse of statistics,0.58
dark money,0.58
dark pattern news,0.58
editorial capture,0.58
implied falsehood,0.58
inaccurate summary,0.58
misleading,0.58
mob framing,0.58
mudslinging,0.58
opinion masquerading as fact,0.58
paid placement,0.58
speculation,0.58
tabloid claim,0.58
unconfirmed,0.58
doctor,0.58
journalist,0.58
scientist,0.58
witness,0.58
cancel,0.57
technocrat,0.57
thought,0.57
alleged,0.57
anonymous claim,0.57
fake expert,0.56
fake fact-check,0.56
purported,0.56
so-called expert,0.56
advertising disguised as news,0.55
biased source,0.55
borrowed credibility,0.55
circular reporting,0.55
clickbait,0.55
content farm,0.55
corrupt,0.55
created controversy,0.55
crisis narrative,0.55
dead cat story,0.55
diversion narrative,0.55
dodgy statistics,0.55
dubious poll,0.55
echo bait,0.55
entrapment journalism,0.55
fake balance,0.55
floated rumor,0.55
fraud,0.55
fringe outlet,0.55
guilt by association,0.55
ideologically captured,0.55
institutionalized bias,0.55
leaked unverified,0.55
libel risk,0.55
link farm,0.55
lobby captured,0.55
lobby funded,0.55
logical manipulation,0.55
not peer reviewed claim,0.55
overblown claim,0.55
overstated claim,0.55
partisan source,0.55
plausible deniability claim,0.55
poorly sourced,0.55
pretext story,0.55
satire mistaken,0.55
sensational framing,0.55
sensationalized,0.55
setup story,0.55
straw poll misused,0.55
unreliable source,0.55
urban legend,0.55
witch hunt,0.55
refused,0.55
cherry-picked data,0.54
exaggerated claim,0.54
misleading headline,0.54
misleading statistic,0.54
out of context,0.54
distorted fact,0.53
half truth,0.53
selective reporting,0.53
spin,0.53
agenda,0.52
agenda driven,0.52
dubious claim,0.52
framed narrative,0.52
missing context,0.52
motivated reasoning,0.52
narrative spin,0.52
partisan claim,0.52
partisan framing,0.52
political motive,0.52
slanted reporting,0.52
tone manipulation,0.52
confirmation bias,0.51
echo chamber,0.51
extremist framing,0.51
radicalized claim,0.51
tribalism,0.51
breathless reporting,0.50
citizen journalism unverified,0.50
content theft,0.50
fearmongering,0.50
foreign agent,0.50
hysteria,0.50
hysteria driven,0.50
incitement,0.50
moral panic,0.50
not peer reviewed,0.50
one-sided coverage,0.50
op-ed treated as news,0.50
panic spread,0.50
partial truth,0.50
questionable methodology,0.50
rhetorical trap,0.50
sea-lioning,0.50
talking point repeated,0.50
divisive rhetoric,0.49
inflammatory language,0.49
polarizing content,0.49
provocation,0.49
alarmist,0.48
bias,0.48
demagogue,0.48
dog whistle,0.48
exaggeration,0.48
loaded question,0.48
loaded term,0.48
populist lie,0.48
scapegoating,0.48
speculative report,0.48
flag,0.47
coded language,0.47
fringe belief,0.47
outsider claim,0.47
event,0.47
video,0.47
contested report,0.46
disputed claim,0.46
dissident narrative,0.46
evidence,0.46
anti-establishment framing,0.45
churnalism,0.45
conflict of interest,0.45
copyright theft,0.45
debated statistic,0.45
distraction,0.45
instigation,0.45
labeling tactic,0.45
obscure outlet,0.45
oversimplified story,0.45
possibly doctored,0.45
potentially altered,0.45
pre-bunked narrative,0.45
slippery slope argument,0.45
straw man,0.45
tenuous link,0.45
pandemic,0.45
people,0.45
plot,0.45
state,0.45
actors,0.45
earth,0.45
plan,0.45
reduction,0.45
allegation,0.44
claim,0.44
control,0.44
implant,0.44
order,0.44
shooting,0.44
takeover,0.44
waves,0.44
controls,0.43
cover,0.43
domination,0.43
ring,0.43
society,0.43
trafficking,0.43
accusation,0.43
assertion,0.43
hacked,0.43
machine,0.43
army,0.42
beings,0.42
chip,0.42
disclosure,0.42
document,0.42
panels,0.42
quote,0.42
vaccine,0.42
buried lede,0.42
commentator bias,0.42
contention,0.42
indication,0.42
slant,0.42
suggestion,0.42
before,0.42
cover-up,0.42
deleted,0.42
here,0.41
news,0.41
now,0.41
outlet,0.41
hint,0.41
insinuation,0.41
brainwash,0.41
brainwashing,0.41
caption,0.41
clip,0.41
emergency,0.41
image,0.41
manipulation,0.41
meeting,0.41
midnight,0.41
opposition,0.41
screenshot,0.41
this,0.41
transcript,0.41
consent,0.41
cure,0.41
conjecture,0.40
financial incentive disclosed,0.40
hyperbole,0.40
implication,0.40
inconsistency,0.40
innuendo,0.40
logical fallacy,0.40
disappears,0.40
puppet,0.40
statistic,0.40
blackout,0.40
truth,0.40
assumption,0.39
supposition,0.39
independently,0.39
research,0.39
science,0.39
study,0.39
verified,0.39
disappeared,0.39
intimidated,0.39
threatened,0.39
inference,0.38
presumption,0.38
crime,0.38
culture,0.38
silencing,0.38
narrative,0.37
perception,0.37
story,0.36
version,0.36
account,0.35
chaos,0.35
perspective,0.35
opinion,0.34
viewpoint,0.34
commentary,0.33
editorial,0.33
analysis,0.32
interpretation,0.32
angle,0.31
reading,0.31
campaign,0.30
emphasis,0.30
framing,0.30
background,0.29
context,0.29
detail,0.28
nuance,0.28
ambiguity,0.27
uncertainty,0.27
doubt,0.26
skepticism,0.26
inquiry,0.25
question,0.25
investigation,0.24
probe,0.24
audit,0.23
review,0.23
check,0.22
scrutiny,0.22
assessment,0.21
examination,0.21
evaluation,0.20
judgment,0.20
finding,0.19
verdict,0.19
conclusion,0.18
outcome,0.17
result,0.17
effect,0.16
impact,0.16
consequence,0.15
likelihood,0.14
probability,0.14
chance,0.13
possibility,0.13
concern,0.12
risk,0.12
fear,0.11
worry,0.11
anxiety,0.10
tension,0.10
